Date,Open,High,Low,Close,Volume,Turnover
2012-08-21,5368.7,5425.15,5368.7,5421.0,124343357,49865000000.0
2012-08-22,5395.75,5433.35,5394.8,5412.85,103103501,41561800000.0
2012-08-23,5426.15,5448.6,5393.85,5415.35,127995889,54623400000.0
2012-08-24,5392.6,5399.65,5371.0,5386.7,114346965,45203700000.0
2012-08-27,5387.85,5399.15,5346.65,5350.25,89987572,38824100000.0
2012-08-28,5348.05,5359.25,5312.6,5334.6,123683723,47710000000.0
2012-08-29,5343.85,5345.5,5282.7,5287.8,157470632,45812100000.0
2012-08-30,5268.6,5342.8,5255.05,5315.05,226494000,83746900000.0
2012-08-31,5298.2,5303.25,5238.9,5258.5,167393902,66005800000.0
2012-09-03,5276.5,5295.8,5243.15,5253.75,110380869,40155500000.0
2012-09-04,5249.15,5278.35,5233.2,5274.0,106316880,37265200000.0
2012-09-05,5243.9,5259.5,5215.7,5225.7,126162071,49046800000.0
2012-09-06,5217.65,5260.6,5217.65,5238.4,134008569,46221600000.0
2012-09-07,5309.45,5347.15,5309.2,5342.1,149584722,55900400000.0
2012-09-08,5343.65,5366.3,5343.45,5358.7,11221064,3763399999.9999995
2012-09-10,5361.9,5375.45,5349.1,5363.45,109607506,41830100000.0
2012-09-11,5336.1,5393.35,5332.1,5390.0,112878090,40814200000.0
2012-09-12,5404.45,5435.55,5393.95,5431.0,139920871,48857100000.0
2012-09-13,5435.2,5447.45,5421.85,5435.35,110774177,41993700000.0
2012-09-14,5528.35,5586.65,5526.95,5577.65,233783031,92635300000.0
2012-09-17,5631.75,5652.2,5585.15,5610.0,258912780,109245700000.0
2012-09-18,5602.4,5620.55,5586.45,5600.05,175488961,72726300000.0
2012-09-20,5536.95,5581.35,5534.9,5554.25,165684942,67688800000.0
2012-09-21,5577.0,5720.0,5575.45,5691.15,278023825,111013200000.0
2012-09-24,5691.95,5709.85,5662.75,5669.6,210419441,83805600000.0
2012-09-25,5674.9,5702.7,5652.45,5673.9,341387116,125516000000.0
2012-09-26,5653.4,5672.8,5638.65,5663.45,170771069,67549799999.99999
2012-09-27,5673.75,5693.7,5639.7,5649.5,238991690,93681100000.0
2012-09-28,5684.8,5735.15,5683.45,5703.3,163660805,69481700000.0
2012-10-01,5704.75,5722.95,5694.0,5718.8,123138510,47981700000.0
2012-10-03,5727.7,5743.25,5715.8,5731.25,165037864,66540200000.00001
2012-10-04,5751.55,5807.25,5751.35,5787.6,171404290,69547400000.0
2012-10-05,5815.0,5815.35,4888.2,5746.95,255569804,129958000000.0
2012-10-08,5751.85,5751.85,5666.2,5676.0,142319000,58535600000.00001
2012-10-09,5708.15,5728.65,5677.9,5704.6,119300415,50470100000.0
2012-10-10,5671.15,5686.5,5647.05,5652.15,126294361,45643900000.0
2012-10-11,5663.5,5721.1,5636.95,5708.05,148283847,65427100000.0
2012-10-12,5681.7,5725.0,5659.35,5676.05,130076802,64753000000.0
2012-10-15,5674.25,5693.7,5651.05,5687.25,93693482,39629700000.0
2012-10-16,5705.6,5714.0,5635.6,5648.0,117415701,50433000000.0
2012-10-17,5681.1,5684.35,5633.9,5660.25,123974371,52594600000.0
2012-10-18,5675.3,5722.5,5650.55,5718.7,144097860,62647800000.0
2012-10-19,5703.3,5711.7,5660.0,5684.25,124262817,54109500000.0
2012-10-22,5667.6,5721.55,5658.05,5717.15,103372318,49947500000.0
2012-10-23,5715.65,5720.8,5681.45,5691.4,81501427,38035000000.0
2012-10-25,5688.8,5718.75,5685.7,5705.3,158343061,73593400000.0
2012-10-26,5683.55,5697.2,5641.75,5664.3,101663820,47189700000.0
2012-10-29,5665.2,5698.3,5645.1,5665.6,93555816,39538600000.0
2012-10-30,5656.35,5689.9,5589.9,5597.9,116678775,55508600000.0
2012-10-31,5596.75,5624.4,5583.05,5619.7,112075316,49185500000.0
2012-11-01,5609.85,5649.75,5601.95,5645.05,107393402,46331100000.0
2012-11-02,5696.35,5711.3,5682.55,5697.7,111162841,49243300000.0
2012-11-05,5693.05,5709.2,5679.5,5704.2,74829213,32360800000.0
2012-11-06,5694.1,5730.8,5693.65,5724.4,115018796,46779200000.0
2012-11-07,5718.6,5777.3,5711.4,5760.1,133740615,52421800000.0
2012-11-08,5709.0,5744.5,5693.95,5738.75,117590261,48839000000.0
2012-11-09,5731.1,5751.7,5677.75,5686.25,98763127,48336400000.0
2012-11-12,5688.45,5718.9,5665.75,5683.7,92702799,40826200000.0
2012-11-13,5689.7,5698.25,5660.35,5666.95,16516842,6807200000.0
2012-11-15,5650.35,5651.65,5603.55,5631.0,133979470,55540500000.0
2012-11-16,5624.8,5650.15,5559.8,5574.05,121900570,49961500000.0
2012-11-19,5577.3,5592.75,5549.25,5571.4,106988015,43368400000.0
2012-11-20,5604.8,5613.7,5548.35,5571.55,107481297,43999300000.0
2012-11-21,5582.5,5620.2,5561.4,5614.8,105148728,42284700000.0
2012-11-22,5628.6,5643.35,5608.0,5627.75,94058612,38677600000.0
2012-11-23,5635.45,5637.75,5593.55,5626.6,85082220,32130600000.0
2012-11-26,5648.65,5649.2,5623.45,5635.9,79291426,32462300000.0
2012-11-27,5658.5,5733.2,5658.0,5727.45,134407735,53809500000.0
2012-11-29,5736.7,5833.5,5736.1,5825.0,207295475,91109300000.0
2012-11-30,5836.0,5885.25,5827.85,5879.85,257047977,107773400000.0
2012-12-03,5878.25,5899.15,5854.6,5870.95,113423350,47266800000.0
2012-12-04,5866.8,5894.95,5859.0,5889.25,131020191,48167000000.0
2012-12-05,5906.6,5917.8,5891.35,5900.5,139653957,55837800000.0
2012-12-06,5926.3,5942.55,5838.9,5930.9,140267080,56676500000.0
2012-12-07,5934.0,5949.85,5888.65,5907.4,127607078,57224500000.0
2012-12-10,5916.05,5919.95,5888.1,5908.9,95975757,43398400000.0
2012-12-11,5923.8,5965.15,5865.45,5898.8,137415161,64030600000.00001
2012-12-12,5917.8,5924.6,5874.25,5888.0,132665649,61176300000.0
2012-12-13,5900.35,5907.45,5841.35,5851.5,136616335,59761500000.0
2012-12-14,5846.9,5886.1,5839.15,5879.6,115159830,50128300000.0
2012-12-17,5860.5,5886.05,5850.15,5857.9,109547002,49981899999.99999
2012-12-18,5873.6,5905.8,5823.15,5896.8,148907334,67406600000.0
2012-12-19,5917.3,5939.4,5910.8,5929.6,149439204,67312700000.00001
2012-12-20,5934.45,5937.6,5881.45,5916.4,123911218,53907600000.0
2012-12-21,5888.0,5888.0,5841.65,5847.7,141152911,56039600000.0
2012-12-24,5869.0,5871.9,5844.7,5855.75,85336999,34339800000.0
2012-12-26,5864.95,5917.3,5859.55,5905.6,83871326,34475300000.0
2012-12-27,5930.2,5930.8,5864.7,5870.1,139613235,59555100000.0
2012-12-28,5887.15,5915.75,5879.5,5908.35,89669021,38634700000.0
2012-12-31,5901.2,5919.0,5897.15,5905.1,64809641,30217100000.0
2013-01-01,5937.65,5963.9,5935.2,5950.85,77902745,32987399999.999996
2013-01-02,5982.6,6006.05,5982.0,5993.25,116057389,49929000000.0
2013-01-03,6015.8,6017.0,5986.55,6009.5,99989933,48831300000.0
